id,f_analisis,var_rpta,segmento
177,201804,0,4
178,201601,0,4
179,201704,0,5
180,201709,0,4
181,201804,1,1
182,201709,0,5
183,201603,0,2
184,201607,0,5
185,201708,0,5
186,201602,0,0
187,201609,0,5
188,201609,0,3
189,201702,0,5
190,201604,0,5
191,201807,0,0
192,201801,0,4
193,201612,0,5
194,201606,0,3
195,201704,0,5
196,201710,0,4
197,201804,0,5
198,201705,0,5
199,201610,1,5
200,201607,0,0
201,201801,0,4
202,201703,0,5
203,201803,0,5
204,201602,0,0
205,201703,1,5
206,201712,0,4
207,201701,0,5
208,201802,0,4
209,201802,0,0
210,201610,0,5
211,201605,0,5
212,201804,0,5
213,201711,0,5
214,201712,0,4
215,201802,0,3
216,201604,0,0
217,201807,0,0
218,201705,0,2
219,201802,0,5
220,201707,0,1
221,201712,0,5
222,201707,0,2
223,201611,0,0
224,201609,0,5
225,201703,0,1
226,201803,0,5
227,201606,0,0
228,201709,0,5
229,201611,1,5
230,201604,0,4
231,201802,0,5
232,201611,0,2
233,201601,0,1
234,201609,0,5
235,201804,0,1
236,201804,0,4
237,201612,0,5
238,201604,0,5
239,201602,0,4
240,201708,0,1
241,201806,0,5
242,201608,0,5
243,201807,0,2
244,201709,0,0
245,201602,0,5
246,201602,1,1
247,201710,0,0
248,201803,0,5
249,201606,0,4
250,201807,0,5
251,201805,0,5
252,201611,0,5
253,201612,0,5
254,201705,0,5
255,201805,0,4
256,201612,0,0
257,201706,0,0
258,201612,0,1
259,201807,0,5
260,201610,0,5
261,201604,0,5
262,201807,0,4
263,201603,0,5
264,201807,0,5
265,201704,0,3
266,201703,0,0
267,201609,0,5
268,201609,0,4
269,201603,0,4
270,201703,0,4
271,201710,0,0
272,201602,0,4
273,201601,0,5
274,201801,0,0
275,201705,0,5
276,201710,0,5
277,201708,1,1
278,201704,1,5
279,201707,0,0
280,201712,0,4
281,201608,0,5
282,201609,0,4
283,201701,0,5
284,201804,0,5
285,201807,0,5
286,201605,0,5
287,201606,0,5
288,201604,0,1
289,201611,0,5
290,201704,0,5
291,201702,0,5
292,201712,0,5
293,201612,0,4
294,201606,0,5
295,201804,0,4
296,201709,0,5
297,201601,1,1
298,201701,0,5
299,201712,0,0
300,201611,0,5
301,201710,0,0
302,201611,0,4
303,201711,0,2
304,201706,0,2
305,201706,0,4
306,201601,0,2
307,201607,0,2
308,201604,0,4
309,201712,0,0
310,201703,0,5
311,201802,0,5
312,201609,0,0
313,201711,0,5
314,201802,0,1
315,201709,0,4
316,201802,0,4
317,201802,0,5
318,201610,0,2
319,201703,0,5
320,201612,0,5
321,201710,0,2
322,201702,0,4
323,201608,0,5
324,201611,0,5
325,201609,0,5
326,201604,0,1
327,201606,0,5
328,201706,0,1
329,201612,0,5
330,201702,0,2
331,201703,0,4
332,201705,0,5
333,201803,0,5
334,201709,0,4
335,201603,0,2
336,201707,0,0
337,201711,0,5
338,201803,0,0
339,201602,0,4
340,201609,0,1
341,201610,0,1
342,201602,0,1
343,201806,0,5
344,201705,0,0
345,201610,0,0
346,201608,0,4
347,201710,0,4
348,201711,0,2
349,201704,0,2
350,201806,0,5
351,201702,0,5
352,201601,0,5
353,201801,1,5
354,201710,0,0
355,201611,0,5
356,201710,0,4
357,201702,0,5
358,201708,0,1
359,201607,0,5
360,201802,0,2
361,201709,0,0
362,201606,0,5
363,201612,0,5
364,201609,0,4
365,201803,0,5
366,201803,0,0
367,201807,0,4
368,201804,1,5
369,201711,0,5
370,201702,0,5
371,201711,0,0
372,201706,0,4
373,201709,0,4
374,201708,0,5
375,201709,0,4
376,201807,0,5
377,201707,0,4
378,201801,0,0
379,201601,0,4
380,201607,0,4
381,201710,0,5
382,201609,0,4
383,201612,0,4
384,201608,0,2
385,201709,0,4
386,201807,0,0
387,201605,0,5
388,201711,0,5
389,201604,0,2
390,201801,0,4
391,201711,0,5
392,201709,1,5
393,201803,0,4
394,201610,0,0
395,201604,0,5
396,201707,0,0
397,201707,0,5
398,201705,0,0
399,201704,0,5
400,201807,0,3
401,201612,0,0
402,201804,0,0
403,201801,1,1
404,201707,0,5
405,201709,0,4
406,201707,0,4
407,201807,0,5
408,201701,0,0
409,201807,0,5
410,201611,0,0
411,201708,0,5
412,201806,0,1
413,201703,0,5
414,201803,1,5
415,201801,0,1
416,201707,0,5
417,201609,0,0
418,201710,0,4
419,201704,0,0
420,201805,0,5
421,201803,0,4
422,201711,0,5
423,201803,0,5
424,201709,1,0
425,201806,0,5
426,201708,0,5
427,201710,0,4
428,201603,0,1
429,201702,0,5
430,201709,0,0
431,201712,0,1
432,201801,0,4
433,201711,0,0
434,201711,0,5
435,201702,0,2
436,201806,0,4
437,201702,0,5
438,201606,0,1
439,201607,0,5
440,201705,0,5
441,201712,0,5
442,201609,0,0
443,201709,0,1
444,201701,0,5
445,201803,0,4
446,201704,0,4
447,201601,0,5
448,201710,0,0
449,201802,0,5
450,201805,0,5
451,201803,0,5
452,201707,0,4
453,201805,0,3
454,201710,0,0
455,201801,0,4
456,201606,0,5
457,201703,0,5
458,201803,0,2
459,201702,0,4
460,201701,0,5
461,201703,0,4
462,201611,1,5
463,201711,0,5
464,201703,0,5
465,201802,0,5
466,201702,0,0
467,201710,0,4
468,201610,0,1
469,201606,0,5
470,201804,0,4
471,201703,0,4
472,201703,0,5
473,201707,0,2
474,201611,0,3
475,201802,0,5
476,201710,0,5
477,201711,0,4
478,201609,0,0
479,201802,0,4
480,201703,0,5
481,201803,0,4
482,201703,1,5
483,201807,0,4
484,201804,0,0
485,201805,0,5
486,201705,0,5
487,201611,0,0
488,201704,0,5
489,201707,0,5
490,201610,0,0
491,201806,0,4
492,201804,0,4
493,201802,0,5
494,201610,0,1
495,201712,1,0
496,201703,0,4
497,201602,0,2
498,201805,0,5
499,201711,0,4
500,201610,0,5
501,201708,0,4
502,201703,0,0
503,201708,0,4
504,201709,0,0
505,201804,0,5
506,201707,0,0
507,201708,0,4
508,201610,0,4
509,201803,0,5
510,201704,0,5
511,201611,1,5
512,201711,1,5
513,201610,1,5
514,201804,0,5
515,201708,0,5
516,201703,0,4
517,201702,0,5
518,201701,0,0
519,201601,0,1
520,201802,0,5
521,201612,0,3
522,201706,0,4
523,201704,0,1
524,201706,0,4
525,201802,1,1
526,201802,0,1
527,201602,1,5
528,201602,0,2
529,201610,1,1
530,201706,0,5
531,201706,0,4
532,201802,0,0
533,201611,0,4
534,201610,0,2
535,201709,0,1
536,201603,0,5
537,201706,0,1
538,201804,1,4
539,201606,0,0
540,201610,0,5
541,201703,0,4
542,201706,0,4
543,201710,0,5
544,201610,0,5
545,201704,0,4
546,201712,0,1
547,201802,0,4
548,201804,0,4
549,201601,0,5
550,201706,0,4
551,201702,0,5
552,201801,0,0
553,201709,0,5
554,201601,0,5
555,201604,0,5
556,201606,0,4
557,201712,0,0
558,201711,0,5
559,201805,0,2
560,201604,0,5
561,201708,0,5
562,201612,0,5
563,201602,0,3
564,201711,0,5
565,201805,0,0
566,201701,0,4
567,201709,0,3
568,201604,0,0
569,201807,0,0
570,201702,0,0
571,201611,0,1
572,201612,0,5
573,201710,0,5
574,201706,1,1
575,201712,0,5
576,201602,0,5
577,201706,0,0
578,201602,1,4
579,201608,0,1
580,201605,0,5
581,201805,0,0
582,201702,0,4
583,201608,0,5
584,201606,0,5
585,201602,0,5
586,201608,0,4
587,201702,0,5
588,201805,0,4
589,201807,0,4
590,201612,0,5
591,201601,0,4
592,201704,0,0
593,201802,0,5
594,201807,0,5
595,201705,0,0
596,201706,0,5
597,201703,0,2
598,201610,0,5
599,201710,0,1
600,201607,0,4
601,201803,0,4
602,201712,0,5
603,201704,0,4
604,201602,0,4
605,201706,0,0
606,201807,0,3
607,201807,0,5
608,201705,0,2
609,201706,1,5
610,201709,0,5
611,201711,0,5
612,201712,0,5
613,201807,0,5
614,201606,0,0
615,201804,0,0
616,201710,0,5
617,201604,0,5
618,201611,0,1
619,201702,0,5
620,201609,0,4
621,201702,0,4
622,201608,0,5
623,201705,1,1
624,201602,0,4
625,201610,0,5
626,201807,0,5
627,201606,0,3
628,201804,1,1
629,201609,0,4
630,201709,0,5
631,201604,0,0
632,201804,0,1
633,201609,0,4
634,201607,0,0
635,201807,0,1
636,201701,0,4
637,201610,0,5
638,201703,0,5
639,201609,0,3
640,201702,0,5
641,201712,0,5
642,201705,0,0
643,201601,1,5
644,201711,0,5
645,201807,0,4
646,201607,0,4
647,201708,0,5
648,201605,0,0
649,201608,0,4
650,201709,1,4
651,201703,0,5
652,201612,1,5
653,201804,0,5
654,201605,0,1
655,201703,0,4
656,201804,0,0
657,201712,0,1
658,201807,0,5
659,201708,0,5
660,201802,0,5
661,201807,0,5
662,201705,1,0
663,201708,0,1
664,201801,0,5
665,201709,0,5
666,201602,0,0
667,201612,0,5
668,201610,0,5
669,201705,0,5
670,201707,0,5
671,201805,0,2
672,201704,0,0
673,201608,0,5
674,201711,0,4
675,201709,1,0
676,201607,0,3
677,201609,0,1
678,201703,0,5
679,201608,0,4
680,201603,0,2
681,201702,0,0
682,201701,1,0
683,201601,0,4
684,201606,0,5
685,201806,0,4
686,201605,0,5
687,201603,0,0
688,201702,0,4
689,201602,0,0
690,201804,0,5
691,201705,0,0
692,201704,0,1
693,201603,0,0
694,201708,0,5
695,201705,1,0
696,201807,0,0
697,201608,0,3
698,201802,0,4
699,201805,0,5
700,201702,0,0
701,201702,0,3
702,201611,0,0
703,201705,0,4
704,201704,0,2
705,201710,0,0
706,201807,0,5
707,201807,0,5
708,201709,0,5
709,201609,0,5
710,201712,0,0
711,201607,0,5
712,201803,0,5
713,201605,0,4
714,201806,0,5
715,201611,0,4
716,201712,0,2
717,201706,0,5
718,201612,0,4
719,201710,0,4
720,201707,0,0
721,201609,0,5
722,201602,0,5
723,201804,0,5
724,201602,0,5
725,201704,0,5
726,201611,0,5
727,201610,0,5
728,201807,0,4
729,201701,0,5
730,201612,0,5
731,201611,0,0
732,201611,0,4
733,201806,0,5
734,201708,0,5
735,201607,0,5
736,201711,0,0
737,201710,0,4
738,201610,0,5
739,201612,0,5
740,201806,0,5
741,201709,0,5
742,201702,0,5
743,201701,0,5
744,201711,0,4
745,201701,0,0
746,201807,0,0
747,201803,0,5
748,201610,0,4
749,201605,0,0
750,201711,0,4
751,201601,0,2
752,201712,0,4
753,201801,0,5
754,201708,0,5
755,201712,0,4
756,201804,0,5
757,201804,0,0
758,201609,0,2
759,201801,0,2
760,201706,0,5
761,201807,0,5
762,201609,0,5
763,201704,1,1
764,201711,0,5
765,201602,0,4
766,201806,0,5
767,201710,0,5
768,201709,0,5
769,201601,0,0
770,201807,0,5
771,201807,0,0
772,201710,0,2
773,201602,0,0
774,201705,0,5
775,201802,0,0
776,201702,0,5
777,201701,0,5
778,201706,0,5
779,201609,0,0
780,201806,0,2
781,201704,0,0
782,201609,0,2
783,201605,0,5
784,201706,0,5
785,201711,0,5
786,201807,0,5
787,201710,0,5
788,201608,0,0
789,201707,0,4
790,201705,0,0
791,201802,0,2
792,201601,0,4
793,201802,1,1
794,201602,0,5
795,201608,0,0
796,201803,0,0
797,201604,0,4
798,201606,0,1
799,201703,0,5
800,201606,0,5
801,201705,0,5
802,201611,0,5
803,201609,0,0
804,201807,0,5
805,201805,0,5
806,201703,0,4
807,201603,0,4
808,201602,0,0
809,201710,0,4
810,201807,0,5
811,201701,0,4
812,201801,0,0
813,201710,0,5
814,201804,0,5
815,201804,0,5
816,201605,0,5
817,201706,1,5
818,201610,0,2
819,201801,1,5
820,201601,0,4
821,201710,0,5
822,201609,0,5
823,201703,0,4
824,201804,0,5
825,201608,0,5
826,201601,0,0
827,201801,0,4
828,201711,0,0
829,201709,0,4
830,201606,0,5
831,201803,0,0
832,201610,0,4
833,201803,0,5
834,201804,0,2
835,201611,0,1
836,201704,0,4
837,201606,0,4
838,201608,0,2
839,201803,1,5
840,201804,0,0
841,201710,0,4
842,201707,0,4
843,201710,0,2
844,201608,0,5
845,201609,0,4
846,201611,1,1
847,201604,0,0
848,201704,0,5
849,201704,0,0
850,201802,0,5
851,201708,0,0
852,201611,0,5
853,201606,0,2
854,201709,0,0
855,201807,0,3
856,201806,0,5
857,201707,0,5
858,201707,0,4
859,201701,0,0
860,201801,0,4
861,201704,0,2
862,201709,0,4
863,201701,0,5
864,201703,1,5
865,201706,0,5
866,201604,0,4
867,201602,0,5
868,201601,0,5
869,201709,0,4
870,201806,0,5
871,201601,0,0
872,201706,0,5
873,201602,0,4
874,201802,0,5
875,201711,0,2
876,201603,0,5
877,201709,0,5
878,201807,0,5
879,201711,0,4
880,201610,0,2
881,201612,0,5
882,201706,0,0
883,201710,1,5
884,201803,0,4
885,201707,0,5
886,201607,0,0
887,201706,0,4
888,201607,0,1
889,201611,0,5
890,201806,0,4
891,201710,0,4
892,201708,0,0
893,201802,0,5
894,201803,0,5
895,201802,0,2
896,201706,0,0
897,201610,0,5
898,201610,0,5
899,201601,0,5
900,201702,0,5
901,201605,1,0
902,201607,0,4
903,201603,0,5
904,201712,0,3
905,201707,0,5
906,201712,0,4
907,201801,0,5
908,201801,0,5
909,201609,0,5
910,201609,0,1
911,201804,1,1
912,201601,0,1
913,201707,0,4
914,201711,0,4
915,201607,0,5
916,201710,0,4
917,201708,0,5
918,201710,0,5
919,201701,0,5
920,201709,0,5
921,201805,0,5
922,201612,0,1
923,201712,0,5
924,201801,0,4
925,201608,0,5
926,201704,0,5
927,201611,0,5
928,201705,0,0
929,201712,0,5
930,201704,0,2
931,201606,0,5
932,201803,0,5
933,201805,0,1
934,201605,0,5
935,201608,0,5
936,201610,0,2
937,201708,0,4
938,201601,0,4
939,201707,1,5
940,201702,0,5
941,201609,0,5
942,201608,0,5
943,201710,0,0
944,201807,0,0
945,201708,0,0
946,201712,0,5
947,201711,1,0
948,201609,0,5
949,201610,0,2
950,201807,0,4
951,201801,0,0
952,201712,0,0
953,201706,0,1
954,201803,0,5
955,201610,0,5
956,201802,0,0
957,201707,0,0
958,201705,0,4
959,201706,0,5
960,201711,0,5
961,201704,0,4
962,201603,0,0
963,201703,0,5
964,201705,0,4
965,201710,0,0
966,201807,0,5
967,201701,0,5
968,201705,0,5
969,201703,0,5
970,201604,0,5
971,201710,0,0
972,201612,0,5
973,201709,0,0
974,201602,0,0
975,201706,0,5
976,201806,0,5
977,201603,0,5
978,201707,0,0
979,201708,0,4
980,201710,0,0
981,201701,1,5
982,201706,0,0
983,201610,0,4
984,201706,0,4
985,201805,0,5
986,201612,0,5
987,201609,0,0
988,201607,0,2
989,201706,1,3
990,201606,0,4
991,201708,0,5
992,201612,0,0
993,201706,0,5
994,201701,0,4
995,201610,0,1
996,201704,0,0
997,201609,0,5
998,201803,0,5
999,201706,0,5
1000,201610,0,1
1001,201711,0,1
1002,201703,0,2
1003,201707,1,0
1004,201802,0,4
1005,201603,0,4
1006,201704,0,5
1007,201712,0,5
1008,201704,0,4
1009,201612,0,5
1010,201804,0,4
1011,201704,0,2
1012,201710,0,5
1013,201804,0,5
1014,201711,0,5
1015,201704,0,4
1016,201710,0,5
1017,201806,0,5
1018,201601,0,5
1019,201704,0,5
1020,201605,0,2
1021,201606,0,0
1022,201602,0,5
1023,201706,0,0
1024,201704,0,1
1025,201806,0,4
1026,201802,0,0
1027,201607,0,4
1028,201712,0,5
1029,201807,0,5
1030,201702,1,4
1031,201601,1,4
1032,201701,0,5
1033,201711,0,5
1034,201803,0,1
1035,201711,0,4
1036,201709,0,0
1037,201711,0,5
1038,201710,1,5
1039,201607,0,3
1040,201803,0,0
1041,201606,0,1
1042,201807,0,5
1043,201605,0,4
1044,201707,0,4
1045,201706,0,5
1046,201608,0,5
1047,201611,0,1
1048,201603,0,5
1049,201711,0,2
1050,201611,0,2
1051,201708,0,0
1052,201610,0,1
1053,201707,0,3
1054,201709,0,1
1055,201602,0,5
1056,201612,0,5
1057,201609,0,5
1058,201805,0,5
1059,201803,0,5
1060,201601,0,5
1061,201705,0,0
1062,201802,0,5
1063,201602,0,4
1064,201701,0,5
1065,201707,0,5
1066,201604,0,5
1067,201804,0,4
1068,201804,0,0
1069,201805,0,4
1070,201611,0,1
1071,201805,0,4
1072,201604,0,5
1073,201712,0,4
1074,201704,0,5
1075,201706,0,4
1076,201802,0,0
1077,201807,0,5
1078,201805,0,5
1079,201805,0,5
1080,201802,0,4
1081,201802,0,5
1082,201710,0,5
1083,201608,0,3
1084,201610,0,5
1085,201610,0,5
1086,201702,0,4
1087,201802,0,4
1088,201702,0,5
1089,201708,1,5
1090,201712,0,5
1091,201601,0,4
1092,201604,0,5
1093,201709,0,5
1094,201805,0,5
1095,201710,0,1
1096,201703,0,5
1097,201711,0,0
1098,201708,0,5
1099,201611,0,0
1100,201704,0,4
1101,201703,0,5
1102,201609,0,1
1103,201612,0,5
1104,201807,0,4
1105,201806,0,5
1106,201612,0,0
1107,201703,0,2
1108,201709,0,4
1109,201606,0,5
1110,201704,0,4
1111,201804,0,4
1112,201709,0,0
1113,201709,0,5
1114,201710,0,5
1115,201803,0,5
1116,201803,0,5
1117,201708,0,5
1118,201705,0,5
1119,201608,0,0
1120,201803,0,5
1121,201706,0,4
1122,201710,0,4
1123,201709,0,2
1124,201701,0,5
1125,201701,0,5
1126,201712,0,4
1127,201611,0,5
1128,201807,0,4
1129,201601,0,4
1130,201609,1,5
1131,201606,0,5
1132,201708,0,1
1133,201802,0,0
1134,201712,0,4
1135,201612,0,5
1136,201709,0,1
1137,201703,0,0
1138,201708,0,0
1139,201707,0,1
1140,201701,0,0
1141,201601,0,0
1142,201611,0,2
1143,201601,0,5
1144,201707,1,1
1145,201704,0,1
1146,201706,0,0
1147,201712,0,5
1148,201601,0,5
1149,201707,0,4
1150,201710,1,1
1151,201806,0,5
1152,201804,0,4
1153,201603,0,5
1154,201711,0,5
1155,201610,1,5
1156,201603,0,1
1157,201604,0,0
1158,201701,0,2
1159,201704,0,4
1160,201702,0,5
1161,201708,0,0
1162,201807,0,2
1163,201701,0,4
1164,201712,0,3
1165,201708,0,1
1166,201701,0,0
1167,201605,0,5
1168,201709,0,5
1169,201711,0,0
1170,201703,0,4
1171,201603,0,5
1172,201710,0,5
1173,201703,0,0
1174,201705,0,4
1175,201705,0,5
1176,201707,0,3
1177,201705,0,5
1178,201604,0,5
1179,201710,0,4
1180,201801,0,5
1181,201704,0,5
1182,201602,0,4
1183,201806,0,5
1184,201710,0,4
1185,201609,0,1
1186,201607,0,2
1187,201806,0,0
1188,201702,0,4
1189,201801,0,4
1190,201706,0,5
1191,201802,0,5
1192,201610,0,1
1193,201704,0,5
1194,201711,0,4
1195,201601,0,5
1196,201611,0,5
1197,201602,0,5
1198,201607,0,5
1199,201609,0,1
1200,201706,0,4
1201,201807,1,5
1202,201805,0,0
1203,201706,0,5
1204,201612,0,5
1205,201708,0,4
1206,201806,0,5
1207,201710,0,5
1208,201608,0,5
1209,201711,0,2
1210,201711,0,4
1211,201610,0,4
1212,201607,0,4
1213,201708,0,5
1214,201605,0,4
1215,201709,0,0
1216,201708,0,4
1217,201707,1,1
1218,201805,0,4
1219,201802,0,5
1220,201611,0,5
1221,201606,0,0
1222,201712,0,1
1223,201807,1,3
1224,201608,0,3
1225,201708,0,4
1226,201705,0,5
1227,201602,0,4
1228,201603,0,4
1229,201609,0,0
1230,201702,0,4
1231,201710,0,5
1232,201705,0,4
1233,201610,0,5
1234,201701,0,5
1235,201707,0,4
1236,201806,0,4
1237,201601,0,5
1238,201603,1,5
1239,201709,0,5
1240,201702,0,5
1241,201711,0,4
1242,201803,0,5
1243,201803,0,1
1244,201709,0,5
1245,201805,0,5
1246,201806,0,5
1247,201805,1,5
1248,201710,0,2
1249,201708,0,0
1250,201609,1,0
1251,201705,0,4
1252,201604,0,5
1253,201706,0,5
1254,201605,0,5
1255,201803,1,4
1256,201609,0,5
1257,201707,0,0
1258,201702,0,5
1259,201706,0,5
1260,201702,0,4
1261,201609,0,4
1262,201612,0,5
1263,201807,0,0
1264,201706,1,0
1265,201801,0,2
1266,201707,0,1
1267,201805,0,4
1268,201711,0,5
1269,201712,0,5
1270,201703,0,5
1271,201701,0,5
1272,201702,0,2
1273,201802,0,0
1274,201712,0,4
1275,201702,0,5
1276,201709,0,0
1277,201610,0,1
1278,201609,0,0
1279,201704,0,5
1280,201807,0,0
1281,201702,0,5
1282,201612,0,0
1283,201603,0,0
1284,201806,1,1
1285,201604,0,5
1286,201807,0,5
1287,201707,0,5
1288,201801,0,4
1289,201712,0,5
1290,201601,0,4
1291,201604,0,4
1292,201807,0,2
1293,201604,1,5
1294,201712,0,4
1295,201608,0,5
1296,201805,0,4
1297,201708,0,2
1298,201606,0,5
1299,201702,0,2
1300,201807,0,5
1301,201704,0,5
1302,201705,0,1
1303,201708,0,5
1304,201710,0,2
1305,201604,0,5
1306,201612,0,5
1307,201711,0,0
1308,201602,1,4
1309,201604,0,2
1310,201707,0,4
1311,201612,0,4
1312,201801,0,5
1313,201709,0,3
1314,201601,1,3
1315,201803,0,5
1316,201703,0,1
1317,201712,1,1
1318,201712,0,0
1319,201606,0,0
1320,201603,0,0
1321,201712,0,4
1322,201601,0,1
1323,201805,0,5
1324,201608,0,1
1325,201803,0,5
1326,201604,0,4
1327,201711,0,5
1328,201604,0,5
1329,201707,0,4
1330,201806,0,5
1331,201707,1,0
1332,201801,0,5
1333,201708,0,5
1334,201702,0,5
1335,201607,0,0
1336,201704,0,0
1337,201611,0,4
1338,201804,0,0
1339,201712,0,5
1340,201706,0,1
1341,201606,0,4
1342,201709,0,0
1343,201610,0,0
1344,201706,0,4
1345,201707,0,3
1346,201606,0,5
1347,201802,0,5
1348,201707,0,5
1349,201806,0,5
1350,201805,0,5
1351,201707,0,0
1352,201710,1,1
1353,201607,0,5
1354,201707,1,0
1355,201711,0,4
1356,201710,0,5
1357,201709,0,0
1358,201609,0,5
1359,201607,0,5
1360,201707,0,5
1361,201708,0,5
1362,201605,0,0
1363,201802,0,5
1364,201611,0,5
1365,201703,0,5
1366,201604,0,2
1367,201711,0,5
1368,201709,0,0
1369,201711,1,1
1370,201806,0,0
1371,201804,0,4
1372,201611,0,4
1373,201804,0,5
1374,201709,0,4
1375,201606,0,5
1376,201806,0,5
1377,201711,0,0
1378,201608,0,0
1379,201603,0,1
1380,201805,0,2
1381,201611,0,5
1382,201712,0,0
1383,201704,0,0
1384,201602,0,0
1385,201610,0,4
1386,201612,0,0
1387,201605,0,4
1388,201601,0,1
1389,201609,0,4
1390,201706,0,0
1391,201706,0,2
1392,201601,0,1
1393,201709,0,5
1394,201807,0,5
1395,201610,0,2
1396,201806,0,4
1397,201705,0,4
1398,201801,1,5
1399,201607,0,0
1400,201610,0,5
1401,201802,0,5
1402,201601,0,4
1403,201611,0,2
1404,201705,0,5
1405,201712,0,0
1406,201707,0,4
1407,201607,0,3
1408,201710,0,4
1409,201604,0,4
1410,201604,0,4
1411,201709,0,4
1412,201802,0,1
1413,201701,0,2
1414,201704,0,4
1415,201608,0,0
1416,201804,0,2
1417,201806,0,5
1418,201801,0,5
1419,201704,0,0
1420,201803,0,2
1421,201712,0,5
1422,201710,0,5
1423,201802,0,5
1424,201709,0,5
1425,201603,0,5
1426,201609,1,3
1427,201806,0,5
1428,201607,0,0
1429,201802,1,5
1430,201703,0,0
1431,201806,0,5
1432,201712,0,5
1433,201711,0,4
1434,201804,0,2
1435,201712,0,4
1436,201708,0,4
1437,201805,0,0
1438,201601,0,5
1439,201602,1,5
1440,201803,0,5
1441,201612,0,4
1442,201604,0,5
1443,201706,0,5
1444,201705,0,5
1445,201806,0,5
1446,201710,0,5
1447,201804,0,5
1448,201709,0,0
1449,201804,0,4
1450,201807,0,0
1451,201609,0,0
1452,201605,0,5
1453,201608,0,4
1454,201604,0,5
1455,201712,0,5
1456,201611,0,4
1457,201602,1,5
1458,201611,0,5
1459,201807,0,0
1460,201703,0,5
1461,201709,0,5
1462,201705,0,5
1463,201807,0,0
1464,201708,0,5
1465,201705,0,4
1466,201710,0,1
1467,201603,0,5
1468,201703,0,5
1469,201802,0,5
1470,201711,0,5
1471,201610,0,5
1472,201610,0,4
1473,201706,0,4
1474,201805,0,4
1475,201703,0,4
1476,201705,0,5
1477,201702,0,5
1478,201802,0,1
1479,201610,0,5
1480,201802,0,5
1481,201611,0,0
1482,201804,0,5
1483,201807,0,5
1484,201611,0,5
1485,201612,0,0
1486,201611,0,5
1487,201612,0,5
1488,201604,0,5
1489,201802,1,5
1490,201610,0,5
1491,201801,0,5
1492,201703,0,5
1493,201705,0,5
1494,201607,0,5
1495,201607,1,5
1496,201801,0,5
