id,f_analisis,segmento
76947,201708,4
76948,201708,5
76949,201709,0
76950,201611,4
76951,201608,5
76952,201610,5
76953,201805,5
76954,201704,5
76955,201702,5
76956,201606,5
76957,201712,5
76958,201802,5
76959,201607,5
76960,201605,5
76961,201801,2
76962,201801,5
76963,201806,4
76964,201706,1
76965,201803,5
76966,201803,3
76967,201711,5
76968,201807,4
76969,201706,1
76970,201712,5
76971,201711,0
76972,201710,1
76973,201608,5
76974,201710,4
76975,201705,4
76976,201703,5
76977,201710,4
76978,201708,5
76979,201709,4
76980,201708,5
76981,201703,4
76982,201709,5
76983,201602,4
76984,201708,5
76985,201709,5
76986,201701,4
76987,201801,5
76988,201707,0
76989,201804,5
76990,201702,0
76991,201612,4
76992,201805,5
76993,201711,0
76994,201612,5
76995,201708,5
76996,201703,5
76997,201702,5
76998,201708,2
76999,201609,1
77000,201609,5
77001,201610,0
77002,201710,5
77003,201607,5
77004,201706,1
77005,201605,5
77006,201602,0
77007,201806,4
77008,201710,5
77009,201707,1
77010,201711,5
77011,201703,5
77012,201602,5
77013,201711,4
77014,201712,4
77015,201612,5
77016,201801,5
77017,201611,5
77018,201610,5
77019,201801,5
77020,201609,5
77021,201702,0
77022,201710,5
77023,201705,5
77024,201612,4
77025,201601,4
77026,201805,0
77027,201709,0
77028,201802,1
77029,201704,0
77030,201804,0
77031,201711,4
77032,201710,0
77033,201705,0
77034,201607,0
77035,201608,2
77036,201706,0
77037,201804,4
77038,201804,0
77039,201704,5
77040,201603,5
77041,201710,4
77042,201801,4
77043,201703,4
77044,201608,5
77045,201703,4
77046,201712,5
77047,201611,4
77048,201707,0
77049,201803,5
77050,201710,5
77051,201708,5
77052,201605,0
77053,201604,5
77054,201609,5
77055,201707,0
77056,201611,4
77057,201606,0
77058,201807,4
77059,201708,5
77060,201609,3
77061,201707,1
77062,201601,4
77063,201707,5
77064,201705,0
77065,201708,5
77066,201712,2
77067,201701,3
77068,201712,5
77069,201607,5
77070,201801,4
77071,201603,4
77072,201706,0
77073,201602,5
77074,201612,5
77075,201707,4
77076,201803,5
77077,201603,4
77078,201706,1
77079,201601,1
77080,201703,4
77081,201710,5
77082,201601,2
77083,201704,4
77084,201610,5
77085,201603,0
77086,201708,0
77087,201603,4
77088,201710,4
77089,201803,5
77090,201605,5
77091,201807,4
77092,201605,4
77093,201711,4
77094,201805,5
77095,201608,0
77096,201805,5
77097,201711,4
77098,201707,4
77099,201606,5
77100,201604,4
77101,201610,5
77102,201703,0
77103,201603,1
77104,201606,4
77105,201710,1
77106,201803,4
77107,201701,5
77108,201807,5
77109,201609,3
77110,201804,2
77111,201710,4
77112,201710,5
77113,201805,5
77114,201807,2
77115,201707,1
77116,201807,4
77117,201705,5
77118,201704,4
77119,201802,1
77120,201706,1
77121,201711,1
77122,201607,5
77123,201708,5
77124,201807,5
77125,201702,5
77126,201712,0
77127,201707,5
77128,201701,5
77129,201603,5
77130,201703,5
77131,201804,4
77132,201606,5
77133,201804,5
77134,201604,5
77135,201707,1
77136,201712,5
77137,201710,0
77138,201611,5
77139,201707,0
77140,201610,4
77141,201711,0
77142,201702,0
77143,201704,4
77144,201703,4
77145,201611,2
77146,201710,5
77147,201608,4
77148,201708,5
77149,201605,5
77150,201707,5
77151,201605,5
77152,201710,0
77153,201806,5
77154,201612,1
77155,201703,4
77156,201707,4
77157,201704,4
77158,201706,5
77159,201702,5
77160,201706,0
77161,201706,3
77162,201703,5
77163,201705,5
77164,201712,4
77165,201611,4
77166,201711,2
77167,201706,5
77168,201706,0
77169,201706,0
77170,201608,2
77171,201606,1
77172,201610,5
77173,201612,5
77174,201707,4
77175,201805,5
77176,201604,5
77177,201610,4
77178,201610,5
77179,201705,0
77180,201712,5
77181,201708,0
77182,201704,5
77183,201709,4
77184,201804,5
77185,201601,5
77186,201708,1
77187,201709,4
77188,201807,4
77189,201602,1
77190,201702,5
77191,201801,4
77192,201703,1
77193,201612,5
77194,201710,1
77195,201603,5
77196,201803,0
77197,201601,0
77198,201604,5
77199,201707,5
77200,201708,0
77201,201701,5
77202,201609,5
77203,201701,5
77204,201607,2
77205,201712,4
77206,201801,5
77207,201608,1
77208,201709,5
77209,201606,4
77210,201709,5
77211,201607,4
77212,201805,5
77213,201807,5
77214,201709,5
77215,201806,5
77216,201710,5
77217,201706,2
77218,201709,5
77219,201602,4
77220,201805,4
77221,201609,0
77222,201708,0
77223,201801,0
77224,201712,5
77225,201708,5
77226,201605,5
77227,201605,2
77228,201801,5
77229,201803,5
77230,201807,1
77231,201803,5
77232,201604,0
77233,201708,0
77234,201807,5
77235,201704,5
77236,201706,4
77237,201610,5
77238,201704,5
77239,201601,4
77240,201709,5
77241,201607,5
77242,201707,5
77243,201704,0
77244,201709,5
77245,201801,0
77246,201706,4
77247,201609,5
77248,201805,5
77249,201710,5
77250,201607,1
77251,201607,0
77252,201710,5
77253,201711,5
77254,201711,4
77255,201705,5
77256,201604,5
77257,201707,5
77258,201709,0
77259,201612,5
77260,201709,1
77261,201710,5
77262,201612,5
77263,201608,2
77264,201602,3
77265,201711,5
77266,201610,5
77267,201704,4
77268,201605,5
77269,201704,5
77270,201702,5
77271,201712,5
77272,201710,5
77273,201703,5
77274,201702,1
77275,201805,5
77276,201708,5
77277,201805,5
77278,201709,4
77279,201803,5
77280,201708,0
77281,201805,2
77282,201803,1
77283,201607,0
77284,201701,4
77285,201802,5
77286,201610,4
77287,201605,0
77288,201801,5
77289,201704,5
77290,201702,5
77291,201706,4
77292,201607,5
77293,201702,0
77294,201611,5
77295,201705,4
77296,201710,5
77297,201708,5
77298,201709,0
77299,201611,0
77300,201710,4
77301,201710,5
77302,201608,5
77303,201603,2
77304,201706,5
77305,201707,3
77306,201607,2
77307,201802,0
77308,201609,1
77309,201806,5
77310,201611,4
77311,201609,5
77312,201709,0
77313,201806,5
77314,201803,4
77315,201707,5
77316,201804,2
77317,201609,0
77318,201704,5
77319,201802,5
77320,201806,5
77321,201604,5
77322,201802,5
77323,201708,0
77324,201606,1
77325,201703,2
77326,201612,4
77327,201706,5
77328,201610,5
77329,201807,2
77330,201703,4
77331,201701,5
77332,201611,4
77333,201604,4
77334,201801,5
77335,201603,0
77336,201605,4
77337,201705,4
77338,201702,5
77339,201611,0
77340,201707,5
77341,201801,1
77342,201601,5
77343,201710,5
77344,201804,5
77345,201610,1
77346,201605,5
77347,201712,1
77348,201701,4
77349,201707,5
77350,201804,5
77351,201710,5
77352,201710,4
77353,201611,1
77354,201704,4
77355,201611,5
77356,201704,4
77357,201612,5
77358,201801,4
77359,201711,0
77360,201708,5
77361,201611,5
77362,201805,5
77363,201807,4
77364,201709,4
77365,201805,0
77366,201604,5
77367,201602,0
77368,201606,5
77369,201710,4
77370,201606,5
77371,201704,5
77372,201711,5
77373,201801,5
77374,201611,0
77375,201707,1
77376,201705,4
77377,201610,5
77378,201804,2
77379,201706,0
77380,201708,4
77381,201805,5
77382,201704,1
77383,201602,5
77384,201707,4
77385,201806,5
77386,201703,5
77387,201803,4
77388,201712,0
77389,201611,5
77390,201611,5
77391,201703,5
77392,201711,4
77393,201603,1
77394,201603,4
77395,201704,4
77396,201610,5
77397,201707,5
77398,201712,5
77399,201609,2
77400,201806,0
77401,201806,2
77402,201606,5
77403,201610,5
77404,201804,5
77405,201602,5
77406,201708,5
77407,201803,5
77408,201804,4
77409,201609,0
77410,201704,5
77411,201608,4
77412,201703,4
77413,201712,5
77414,201612,4
77415,201710,2
77416,201804,4
77417,201601,1
77418,201608,5
77419,201806,5
77420,201803,5
77421,201603,0
77422,201703,5
77423,201608,5
77424,201711,4
77425,201707,0
77426,201612,2
77427,201607,2
77428,201610,5
77429,201710,2
77430,201704,0
77431,201603,1
77432,201805,4
77433,201712,2
77434,201606,5
77435,201702,5
77436,201609,5
77437,201601,5
77438,201801,2
77439,201708,0
77440,201708,0
77441,201705,5
77442,201601,0
77443,201610,2
77444,201608,4
77445,201610,5
77446,201805,5
77447,201607,4
77448,201708,5
77449,201712,5
77450,201603,1
77451,201807,5
77452,201709,4
77453,201703,0
77454,201806,4
77455,201607,5
77456,201804,0
77457,201709,4
77458,201609,5
77459,201705,5
77460,201704,5
77461,201612,4
77462,201711,5
77463,201606,1
77464,201601,1
77465,201611,1
77466,201801,1
77467,201710,0
77468,201805,4
77469,201706,1
77470,201710,5
77471,201807,4
77472,201701,5
77473,201708,5
77474,201703,0
77475,201804,4
77476,201805,4
77477,201610,0
77478,201806,4
77479,201801,1
77480,201710,5
77481,201709,5
77482,201806,5
77483,201708,5
77484,201806,2
77485,201610,0
77486,201711,5
77487,201606,5
77488,201708,0
77489,201601,0
77490,201807,5
77491,201805,4
77492,201609,5
77493,201603,4
77494,201705,0
77495,201708,5
77496,201702,4
77497,201606,0
77498,201601,5
77499,201603,5
77500,201802,1
77501,201807,0
77502,201701,1
77503,201702,1
77504,201612,0
77505,201611,5
77506,201803,5
77507,201612,5
77508,201803,1
77509,201708,0
77510,201610,3
77511,201807,1
77512,201605,0
77513,201802,5
77514,201706,2
77515,201804,4
77516,201612,2
77517,201712,5
77518,201802,4
77519,201602,0
77520,201706,1
77521,201611,4
77522,201703,0
77523,201707,1
77524,201701,0
77525,201704,5
77526,201805,4
77527,201707,4
77528,201705,5
77529,201807,5
77530,201604,4
77531,201708,4
77532,201710,5
77533,201712,5
77534,201707,0
77535,201806,5
77536,201604,1
77537,201608,2
77538,201804,5
77539,201704,5
77540,201602,1
77541,201702,4
77542,201702,5
77543,201708,5
77544,201710,5
77545,201707,0
77546,201610,4
77547,201804,5
77548,201710,0
77549,201706,5
77550,201710,1
77551,201805,0
77552,201711,0
77553,201712,5
77554,201703,5
77555,201707,4
77556,201705,4
77557,201707,5
77558,201712,5
77559,201608,5
77560,201708,5
77561,201710,0
77562,201606,3
77563,201705,2
77564,201602,5
77565,201608,5
77566,201705,4
77567,201709,5
77568,201709,1
77569,201804,4
77570,201605,5
77571,201601,4
77572,201607,0
77573,201706,5
77574,201603,5
77575,201706,0
77576,201807,5
77577,201608,4
77578,201610,2
77579,201707,4
77580,201611,5
77581,201610,5
77582,201703,2
77583,201601,0
77584,201805,5
77585,201605,5
77586,201807,0
77587,201612,0
77588,201805,5
77589,201709,1
77590,201611,4
77591,201602,5
77592,201607,2
77593,201704,5
77594,201804,0
77595,201804,5
77596,201804,1
77597,201801,0
77598,201709,4
77599,201711,5
77600,201609,3
77601,201601,2
77602,201807,5
77603,201806,4
77604,201604,5
77605,201801,5
77606,201605,1
77607,201807,4
77608,201712,2
77609,201609,5
77610,201610,2
77611,201601,0
77612,201606,5
77613,201705,0
77614,201604,5
77615,201705,5
77616,201608,5
77617,201703,5
77618,201606,4
77619,201806,5
77620,201704,2
77621,201707,5
77622,201703,1
77623,201801,2
77624,201705,4
77625,201804,5
77626,201709,0
77627,201605,4
77628,201708,0
77629,201611,5
77630,201605,5
77631,201803,0
77632,201606,5
77633,201706,5
77634,201706,5
77635,201710,0
77636,201802,4
77637,201611,1
77638,201711,4
77639,201704,5
77640,201612,2
77641,201709,5
77642,201611,4
77643,201704,4
77644,201701,2
77645,201604,3
77646,201707,0
77647,201804,1
77648,201710,5
77649,201605,4
77650,201612,0
77651,201703,5
77652,201606,1
77653,201804,5
77654,201603,0
77655,201711,1
77656,201802,5
77657,201704,0
77658,201601,5
77659,201802,5
77660,201707,0
77661,201709,1
77662,201708,0
77663,201601,5
77664,201602,1
77665,201604,0
77666,201706,0
77667,201708,5
77668,201610,4
77669,201807,5
77670,201711,4
77671,201706,4
77672,201609,0
77673,201710,0
77674,201711,1
77675,201704,4
77676,201706,0
77677,201802,5
77678,201610,4
77679,201801,4
77680,201803,4
77681,201605,4
77682,201703,4
77683,201707,0
77684,201606,5
77685,201707,5
77686,201608,5
77687,201702,5
77688,201712,4
77689,201603,1
77690,201806,4
77691,201805,5
77692,201609,5
77693,201706,4
77694,201712,4
77695,201607,5
77696,201605,4
77697,201611,5
77698,201702,2
77699,201604,4
77700,201707,5
77701,201805,5
77702,201803,5
77703,201711,5
77704,201805,4
77705,201807,0
77706,201706,4
77707,201602,5
77708,201807,4
77709,201610,1
77710,201803,4
77711,201605,5
77712,201712,2
77713,201603,2
77714,201711,5
77715,201709,5
77716,201610,5
77717,201603,4
77718,201712,4
77719,201805,5
77720,201807,0
77721,201804,0
77722,201611,2
77723,201610,5
77724,201805,4
77725,201610,5
77726,201602,4
77727,201706,4
77728,201610,4
77729,201605,5
77730,201704,4
77731,201711,2
77732,201805,5
77733,201704,5
77734,201702,4
77735,201609,1
77736,201704,4
77737,201711,1
77738,201607,5
77739,201606,5
77740,201603,1
77741,201707,5
77742,201612,5
77743,201603,2
77744,201705,5
77745,201604,0
77746,201703,5
77747,201610,4
77748,201703,5
77749,201802,5
77750,201701,5
77751,201706,0
77752,201701,4
77753,201702,4
77754,201601,2
77755,201704,4
77756,201807,4
77757,201802,5
77758,201708,5
77759,201802,5
77760,201705,5
77761,201807,0
77762,201605,1
77763,201701,4
77764,201610,4
77765,201611,5
77766,201708,5
77767,201703,3
77768,201611,1
77769,201612,5
77770,201801,4
77771,201604,1
77772,201708,0
77773,201612,3
77774,201612,0
77775,201708,1
77776,201609,4
77777,201604,5
77778,201601,1
77779,201704,0
77780,201710,0
77781,201606,1
77782,201603,5
77783,201609,0
77784,201602,1
77785,201805,0
77786,201704,4
77787,201601,2
77788,201607,5
77789,201806,5
77790,201706,4
77791,201701,5
77792,201604,5
77793,201603,4
77794,201802,0
77795,201707,5
77796,201807,0
77797,201806,5
77798,201807,0
77799,201609,4
77800,201704,5
77801,201603,0
77802,201802,1
77803,201612,5
77804,201610,5
77805,201801,2
77806,201805,5
77807,201806,5
77808,201601,4
77809,201804,1
77810,201612,5
77811,201802,0
77812,201802,4
77813,201807,4
77814,201710,5
77815,201705,5
77816,201704,5
77817,201806,1
77818,201705,0
77819,201708,5
77820,201701,5
77821,201711,5
77822,201801,1
77823,201601,5
77824,201801,5
77825,201710,5
77826,201609,1
77827,201603,5
77828,201602,0
77829,201612,1
77830,201708,0
77831,201807,5
77832,201608,5
77833,201609,5
77834,201711,2
77835,201607,2
77836,201804,5
77837,201702,0
77838,201712,5
77839,201612,4
77840,201711,4
77841,201608,0
77842,201710,3
77843,201603,3
77844,201803,5
77845,201608,0
77846,201710,5
77847,201612,5
77848,201710,5
77849,201603,5
77850,201601,4
77851,201710,4
77852,201607,4
77853,201802,5
77854,201611,5
77855,201608,0
77856,201711,5
77857,201801,4
77858,201603,1
77859,201710,5
77860,201807,2
77861,201803,5
77862,201807,0
77863,201602,5
77864,201702,4
77865,201708,5
77866,201607,5
77867,201609,5
77868,201611,4
77869,201610,5
77870,201602,4
77871,201707,0
77872,201806,4
77873,201708,5
77874,201712,0
77875,201602,5
77876,201807,5
77877,201708,1
77878,201709,4
77879,201712,5
77880,201602,0
77881,201807,5
77882,201801,5
77883,201804,2
77884,201611,5
77885,201606,0
77886,201712,5
77887,201708,5
77888,201805,5
77889,201601,4
77890,201803,5
77891,201704,5
77892,201610,5
77893,201807,4
77894,201706,0
77895,201708,5
77896,201805,5
77897,201612,0
77898,201805,0
77899,201807,4
77900,201611,5
77901,201701,5
77902,201606,2
77903,201802,0
77904,201702,5
77905,201612,4
77906,201704,0
77907,201611,5
77908,201711,0
77909,201807,5
77910,201711,5
77911,201612,4
77912,201708,5
77913,201802,0
77914,201711,5
77915,201612,5
77916,201604,5
77917,201703,4
77918,201711,5
77919,201711,5
77920,201802,5
77921,201701,2
77922,201705,4
77923,201711,5
77924,201705,5
77925,201707,5
77926,201602,5
77927,201707,3
77928,201611,0
77929,201803,1
77930,201702,5
77931,201709,0
77932,201601,5
77933,201701,5
77934,201803,5
77935,201712,4
77936,201709,5
77937,201704,5
77938,201606,0
77939,201803,5
77940,201604,5
77941,201803,4
77942,201805,4
77943,201610,5
77944,201602,0
77945,201801,0
77946,201606,5
77947,201706,2
77948,201608,3
77949,201803,5
77950,201605,2
77951,201712,5
77952,201710,5
77953,201606,4
77954,201804,4
77955,201707,4
77956,201612,0
77957,201612,0
77958,201711,5
77959,201801,0
77960,201604,2
77961,201705,4
77962,201705,4
77963,201704,3
77964,201611,5
77965,201702,0
77966,201610,5
77967,201605,4
77968,201703,5
77969,201612,4
77970,201605,0
77971,201805,0
77972,201703,4
77973,201609,5
77974,201712,5
77975,201804,0
77976,201710,4
77977,201708,5
77978,201610,4
77979,201605,2
77980,201807,5
77981,201708,0
77982,201603,5
77983,201603,0
77984,201610,5
77985,201709,0
77986,201703,5
77987,201706,1
77988,201706,5
77989,201701,5
77990,201701,5
77991,201805,2
77992,201612,5
77993,201702,4
77994,201711,5
77995,201610,0
77996,201806,0
77997,201603,2
77998,201610,2
77999,201604,0
78000,201703,5
78001,201802,5
78002,201805,2
78003,201710,4
78004,201707,0
78005,201604,4
78006,201609,5
78007,201804,4
78008,201701,5
78009,201806,5
78010,201711,5
78011,201609,5
78012,201706,4
78013,201805,5
78014,201608,4
78015,201712,4
78016,201711,0
78017,201609,5
78018,201804,5
78019,201610,5
78020,201709,1
78021,201706,5
78022,201707,4
78023,201702,5
78024,201707,5
78025,201702,5
78026,201709,4
78027,201708,5
78028,201611,1
78029,201804,4
78030,201801,4
78031,201608,4
78032,201602,5
78033,201610,5
78034,201609,5
78035,201606,0
78036,201802,4
78037,201712,4
78038,201701,4
78039,201711,5
78040,201612,4
78041,201612,0
78042,201609,4
78043,201706,5
78044,201611,4
78045,201805,0
78046,201609,3
78047,201804,5
78048,201709,5
78049,201709,5
78050,201710,4
78051,201803,5
78052,201803,5
78053,201608,0
78054,201609,4
78055,201806,5
78056,201605,0
78057,201701,5
78058,201612,5
78059,201704,1
78060,201601,4
78061,201709,5
78062,201609,4
78063,201607,2
78064,201606,5
78065,201712,5
78066,201802,4
78067,201804,5
78068,201708,5
78069,201612,5
78070,201712,1
78071,201701,5
78072,201609,2
78073,201705,4
78074,201607,0
78075,201608,0
78076,201601,1
78077,201607,5
78078,201705,5
78079,201603,0
78080,201609,5
78081,201601,4
78082,201706,0
78083,201711,5
78084,201602,0
78085,201804,5
78086,201604,1
78087,201605,0
78088,201709,5
78089,201708,0
78090,201706,5
78091,201705,0
78092,201711,5
78093,201611,0
78094,201802,4
78095,201803,5
78096,201603,4
78097,201804,5
78098,201601,0
78099,201807,5
78100,201607,2
78101,201706,4
78102,201705,5
78103,201801,0
78104,201806,4
78105,201704,5
78106,201709,5
78107,201606,0
78108,201801,5
78109,201807,0
78110,201802,5
78111,201701,5
78112,201805,5
78113,201606,1
78114,201609,4
78115,201803,5
78116,201807,4
78117,201709,5
78118,201805,4
78119,201601,4
78120,201611,1
78121,201706,5
78122,201705,5
78123,201607,4
78124,201802,5
78125,201603,5
78126,201612,5
78127,201702,4
78128,201610,5
78129,201709,4
78130,201706,4
78131,201701,0
78132,201611,5
78133,201710,0
78134,201612,4
78135,201806,1
78136,201608,5
78137,201801,5
78138,201707,3
78139,201703,5
78140,201603,5
78141,201703,2
78142,201709,2
78143,201611,5
78144,201706,5
78145,201701,5
78146,201607,4
78147,201609,5
78148,201801,4
78149,201706,5
78150,201807,5
78151,201712,0
78152,201605,0
78153,201608,5
78154,201703,4
78155,201710,4
78156,201609,5
78157,201608,0
78158,201711,5
78159,201806,5
78160,201706,2
78161,201804,5
78162,201603,2
78163,201602,2
78164,201605,1
78165,201705,5
78166,201708,5
78167,201801,4
78168,201706,5
78169,201707,0
78170,201707,5
78171,201712,4
78172,201710,4
78173,201604,5
78174,201606,0
78175,201711,5
78176,201603,0
78177,201708,5
78178,201711,5
78179,201604,5
78180,201803,0
78181,201611,2
78182,201609,4
78183,201605,4
78184,201710,5
78185,201707,5
78186,201704,4
78187,201803,0
78188,201706,0
78189,201708,0
78190,201610,5
78191,201804,0
78192,201806,0
78193,201702,1
78194,201710,5
78195,201707,4
78196,201610,5
78197,201709,5
78198,201706,0
78199,201702,2
78200,201609,5
78201,201712,0
78202,201706,5
78203,201806,4
78204,201611,4
78205,201703,5
78206,201604,5
78207,201709,1
78208,201711,1
78209,201804,2
78210,201706,5
78211,201711,4
78212,201603,0
78213,201709,4
78214,201709,0
78215,201806,5
78216,201606,5
78217,201608,1
78218,201711,1
78219,201601,2
78220,201708,5
78221,201707,4
78222,201711,5
78223,201710,0
78224,201707,4
78225,201705,0
78226,201707,2
78227,201710,0
78228,201609,0
78229,201612,5
78230,201603,4
78231,201705,5
78232,201712,4
78233,201708,0
78234,201805,1
78235,201704,0
78236,201610,5
78237,201602,5
78238,201708,5
78239,201603,1
78240,201708,4
78241,201612,5
78242,201601,1
78243,201807,4
78244,201705,5
78245,201607,5
78246,201807,2
78247,201709,4
78248,201601,4
78249,201603,0
78250,201806,4
78251,201610,4
78252,201708,5
78253,201604,5
78254,201606,4
78255,201707,5
78256,201801,0
78257,201609,5
78258,201702,0
78259,201712,3
78260,201705,5
78261,201805,5
78262,201711,0
78263,201607,5
78264,201707,5
78265,201707,5
78266,201707,0
78267,201707,2
78268,201708,4
78269,201707,0
78270,201805,3
78271,201708,5
78272,201701,2
78273,201806,5
78274,201711,0
78275,201706,0
78276,201707,0
78277,201604,0
78278,201807,1
78279,201712,4
78280,201710,5
78281,201705,5
78282,201801,5
78283,201606,5
