canal,disposit,cdgtrn,cdgrpta,grupo_descrp_trxn,descrip_trxn,clasif_trxn,descripcion_grupo,descrip_cod_rpta,clasif_cod_rpta,grupo_modifcado,culpa_banco,producto_asociado
CANAL_2,DISPOSIT_11,613.0,334.0,Consulta Novedades OTP,Consulta Novedades OTP,No considerar,Claves,Error de comunicaciones,No Exitosa,NA,SI,Sin producto
CANAL_2,DISPOSIT_13,187.0,410.0,Activacion De Segunda Clave,Activacion De Segunda Clave,No Financiera,Claves,No Exitosa,No Exitosa,Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,225.0,0.0,Solicitud De E-Card,Solicitud De E-Card,No Financiera,Apertura de productos,Transaccion Exitosa,Exitosa,Apertura de productos,NA,E-Card
CANAL_2,DISPOSIT_5,56.0,419.0,Bloqueo De Segunda Clave,Bloqueo De Segunda Clave,No Financiera,Claves,Campo No Numerico En Registro De Control,Tecnicamente Exitosa,Bloqueos,NO,Sin producto
CANAL_5,DISPOSIT_4,489.0,630.0,Inactivacion Cuentas,Inactivacion De Cuentas De Otros Bancos,No Financiera,Eliminaciones,Inactivando Una Cuenta Rechazada,No Exitosa,Eliminaciones,NO,Sin producto
CANAL_3,DISPOSIT_6,360.0,0.0,Consulta De Saldo Deposito,Consulta De Saldos De Cuentas En Tiempo Real,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Tarjeta Debito
CANAL_4,DISPOSIT_9,1105.0,78.0,Consulta De Recaudos,Solicitud de archivos de recaudos,No Financiera,Recaudos,Error Desconocido,No Exitosa,Consultas / Movimientos / Extractos,SI,RECAUDOS
CANAL_5,DISPOSIT_4,126.0,859.0,Actualizacion De Informacion,Actualizacion De Informacion Del Contacto,No Financiera,Actualizaciones,Pays De Residencia No Es V lido,Tecnicamente Exitosa,Actualizaciones,NO,Sin producto
CANAL_2,DISPOSIT_7,561.0,21.0,Consulta De Facturas,Consulta De Facturas De Servicios Publicos,No Financiera,Consultas / Movimientos / Extractos,Referencia No Valida,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_2,DISPOSIT_13,194.0,568.0,Desbloqueo De Segunda Clave,Desbloqueo De Segunda Clave,No Financiera,Claves,#N/A Pendiente De Respuesta,No Exitosa,Claves,SI,Sin producto
CANAL_6,DISPOSIT_4,486.0,632.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,Cuenta Beneficiaria Ya Existe,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_5,DISPOSIT_4,604.0,599.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,Segunda Clave Bloqueada Por Seguridad Bancaria,No considerar,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,531.0,88.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Sistema No Disponible,No Exitosa,Pagos,SI,Cta Ahorros
CANAL_4,DISPOSIT_9,351.0,996.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Terceros,No Financiera,Inscripciones,Inscripcion Para Transferencia De Fondos Pendiente De Aprobacion,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_6,DISPOSIT_4,538.0,604.0,Transferencias de Fondos,Transferencia De Fondos Desde Cuenta De Ahorros,Financiera,Transferencias de fondos,Valor Por Encima Del Tope Maximo Permitido,Tecnicamente Exitosa,Transferencias,NO,Cta Ahorros
CANAL_5,DISPOSIT_4,513.0,441.0,Grabar Constitucion Fiduciaria,Grabar Constitucion- Fid Desde Cuenta Deposito,Financiera,Actualizaciones,Horario No Permitido.,Tecnicamente Exitosa,Actualizaciones,NO,Sin producto
CANAL_5,DISPOSIT_4,529.0,46.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Financiera,Pago Tarjetas,"Pago No Realizado, Por Favor Intente Mas Tarde",No Exitosa,Pagos,NO,TDC
CANAL_3,DISPOSIT_6,604.0,611.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No Financiera,Claves,"Segunda Clave No Valida, Segundo Intento",Tecnicamente Exitosa,Validaciones,NO,Sin producto
CANAL_2,DISPOSIT_13,118.0,0.0,Cancelacion Del Servicio De Alertas,Cancelacion Del Servicio De Alertas,No Financiera,Cancelaciones,Transaccion Exitosa,Exitosa,Cancelaciones,NA,Sin producto
CANAL_1,DISPOSIT_12,202.0,605.0,Recarga De Celular,Recarga De Celular,Financiera,Recargas,Servicio Aun No Habilitado Intente Mas Tarde,No Exitosa,Recargas,SI,Recargas
CANAL_6,DISPOSIT_4,485.0,948.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,El Numero De Documento Del Due#O De La Cuenta No Es V┴Lido,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_1,DISPOSIT_12,403.0,29.0,Consultar Cupo Tarjeta De Credito,Consultar Cupo Tarjeta De Credito,No Financiera,Consultas / Movimientos / Extractos,Tarjeta No Valida,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,TDC
CANAL_1,DISPOSIT_12,911.0,821.0,Solicitud De Retiro,Solicitud De Retiro,No Financiera,Retiros / Depositos,Numero De Movil No Registrado,Tecnicamente Exitosa,Solicitudes,NO,Ahorro a la mano
CANAL_8,DISPOSIT_3,5600.0,803.0,Validacion OTP,Validacion OTP,No considerar,Claves,La Clave Dinamica se ha vencido.,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_6,DISPOSIT_4,3100.0,936.0,Enrolamiento a Softoken personas,Enrolamiento a Softoken personas,No Financiera,Claves,Inscripcion no exitosa. Intente nuevamente.,No Exitosa,Claves,SI,Token
CANAL_2,DISPOSIT_11,505.0,320.0,Desembolso Desde Cupo De Credito,Desembolso Desde Cupo De Credito Audioprestamo A Cuenta De Ahorros,Financiera,Utilizacion de cupo de credito,"Utilizacion No Realizada, Problemas Al Crear El Prestamo",No Exitosa,Utilizacion de cupo de credito,NO,Audioprestamo
CANAL_5,DISPOSIT_4,1100.0,82.0,Transferencia A Inversion Fiduciaria,Transferencia Desde Inversion A Inversion Fiduciaria,Financiera,Transferencias de fondos,Fecha No Valida,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_1,DISPOSIT_2,531.0,118.0,Pago De Facturas,Pago con Validacion de Base de Datos App ALM,Financiera,Pago de facturas,Pin Ingresado No Es V┴Lido,Tecnicamente Exitosa,Pagos,NO,Ahorro a la mano
CANAL_2,DISPOSIT_11,615.0,334.0,Ley antitramites OTP,Ley antitramites OTP,No considerar,Claves,Error de comunicaciones,No Exitosa,NA,SI,Sin producto
CANAL_2,DISPOSIT_10,455.0,0.0,Consulta Estado De Clave,Consulta Estado De Clave,No Financiera,Claves,Transaccion Exitosa,Exitosa,Claves,NA,Sin producto
CANAL_6,DISPOSIT_4,604.0,406.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,No Es Posible Obtener El Costo De La Transacci N,No considerar,NA,NO,Sin producto
CANAL_2,DISPOSIT_13,327.0,8.0,Evidente para Enrolamiento OTP,Evidente para Enrolamiento OTP,No considerar,Claves,Tarjeta No Autorizada A La Solicitud,No Exitosa,NA,NO,Sin producto
CANAL_6,DISPOSIT_4,486.0,627.0,Inscripcion De Cuentas,Inscripcion De Cuentas De Otros Bancos,No Financiera,Inscripciones,Nit Del Beneficiario No Valido,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_11,9913.0,9.0,Consulta De Movimientos Deposito,Consulta Movimientos Dia Cuenta De Ahorros,No Financiera,Consultas / Movimientos / Extractos,Error Al Consultar Valor De La Trm,No Exitosa,Consultas / Movimientos / Extractos,NO,Cta Ahorros
CANAL_2,DISPOSIT_10,412.0,0.0,Bloqueo De Primera Clave,Bloqueo de clave,No Financiera,Claves,Transaccion Exitosa,Exitosa,Bloqueos,NA,Sin producto
CANAL_8,DISPOSIT_3,5600.0,802.0,Validacion OTP,Validacion OTP,No considerar,Claves,Clave Dinamica no valida.,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_1,DISPOSIT_2,558.0,604.0,Envio de Dinero,Envio de Dinero,Financiera,Transferencias de fondos,El Envyo Supera Valor Permitido,Tecnicamente Exitosa,Transferencias,NO,Ahorro a la mano
CANAL_2,DISPOSIT_5,50.0,560.0,Recarga De Celular,Recarga De Celular Ivr,Financiera,Recargas,Cla: Cliente Posee Clave Con Bloqueo Voluntario,Tecnicamente Exitosa,Recargas,NO,Recargas
CANAL_6,DISPOSIT_4,531.0,47.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Convenio No Valido,Tecnicamente Exitosa,Pagos,NO,Cta Ahorros
CANAL_1,DISPOSIT_12,900.0,79.0,Consulta De Movimientos Deposito,Consultar Ultimos 5 Movimientos,No Financiera,Consultas / Movimientos / Extractos,La Cuenta No Tiene Extracto Este Mes,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_2,DISPOSIT_11,613.0,0.0,Consulta Novedades OTP,Consulta Novedades OTP,No considerar,Claves,Transaccion Exitosa,Exitosa,NA,NA,Sin producto
CANAL_3,DISPOSIT_6,604.0,612.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No Financiera,Claves,Segunda Clave Bloqueada Por Numero De Intentos,Tecnicamente Exitosa,Validaciones,NO,Sin producto
CANAL_2,DISPOSIT_10,168.0,36.0,Recuperacion De Saldos,Recuperacion De Saldos De Tarjeta De Credito (Automatica),No considerar,No considerar,Tarjeta De Credito Presenta Bloqueos,No Exitosa,NA,NO,TDC
CANAL_2,DISPOSIT_5,54.0,410.0,Cambio De Segunda Clave,Cambio De Segunda Clave,No Financiera,Claves,Fid: Monto De Retiro Superior Al Tope M xim,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_8,DISPOSIT_3,422.0,705.0,Compra Pse,Compra Pse Desde Cuenta Corriente,Financiera,Compras,Supera Valor Maximo Personalizado,Tecnicamente Exitosa,Compras,NO,PSE
CANAL_1,DISPOSIT_2,900.0,25.0,Consulta De Movimientos Deposito,Consulta De Movimientos,No Financiera,Consultas / Movimientos / Extractos,Consulta No Efectuada,No Exitosa,Consultas / Movimientos / Extractos,SI,Ahorro a la mano
CANAL_6,DISPOSIT_4,549.0,441.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta De Ahorros,Financiera,Transferencias de fondos,Fid: Error Horario Transferencias Transf A Cuentas,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_5,DISPOSIT_4,260.0,5.0,Consulta De Saldo Tarjetas,Consulta De Saldo De Tarjeta De Credito,No Financiera,Consultas / Movimientos / Extractos,Respuesta No Conocida,No Exitosa,Consultas / Movimientos / Extractos,SI,TDC
CANAL_5,DISPOSIT_4,529.0,0.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Desde Cuenta De Ahorros,Financiera,Pago Tarjetas,Transaccion Exitosa,Exitosa,Pagos,NA,TDC
CANAL_2,DISPOSIT_11,485.0,0.0,Contraordenes De Cheques,Contraordenes De Cheques,No Financiera,Contraordenes / Rangos,Transaccion Exitosa,Exitosa,Contraordenes / Rangos,NA,Cheques
CANAL_6,DISPOSIT_4,None,None,None,None,None,None,None,None,None,None,None
CANAL_4,DISPOSIT_9,108.0,435.0,Consulta Movimiento Establecimientos Afiliados,Consulta Movimiento Historico De Establecimientos Afiliados,No Financiera,Consultas / Movimientos / Extractos,Nit No Existe En Establecimiento,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_6,DISPOSIT_4,369.0,0.0,Logueo Para Transacciones,Logueo Para Transacciones,No Financiera,Autenticacion,Transaccion Exitosa,Exitosa,Autenticaciones,NA,Sin producto
CANAL_4,DISPOSIT_9,1022.0,0.0,Inscripcion Historico De Solicitud De Tokens,Inscripcion Historico De Solicitud De Tokens,No Financiera,Token,Transaccion Exitosa,Exitosa,Token,NA,Token
CANAL_5,DISPOSIT_4,239.0,191.0,Consulta Pagacuentas,Consulta Pagacuentas,No Financiera,Transferencias de fondos,Nit De La Empresa No Es Un Cliente Bancolombia,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_1,DISPOSIT_12,381.0,0.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,Transaccion Exitosa,Exitosa,Cambio de Claves,NA,Ahorro a la mano
CANAL_8,DISPOSIT_3,422.0,392.0,Compra Pse,Compra Pse Desde Cuenta Corriente,Financiera,Compras,Error Al Procesar La Transaccion,No Exitosa,Compras,SI,PSE
CANAL_2,DISPOSIT_5,54.0,418.0,Cambio De Segunda Clave,Cambio De Segunda Clave,No Financiera,Claves,Tipo De Aplicacion Invalida,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_6,DISPOSIT_4,431.0,0.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta Corriente,Financiera,Pago de facturas,Transaccion Exitosa,Exitosa,Pagos,NA,Cta Corriente
CANAL_1,DISPOSIT_12,558.0,52.0,Transferencias de Fondos,Transferencia Comunidad Banca Movil,Financiera,Transferencias de fondos,Clave No Valida,Tecnicamente Exitosa,Transferencias,NO,Tarjeta Debito
CANAL_1,DISPOSIT_2,369.0,61.0,Logueo Para Transacciones,Logueo Para Transacciones,No Financiera,Autenticacion,"Sistema No Disponible, Por Favor Intente Mas Tarde",No Exitosa,Autenticaciones,SI,Ahorro a la mano
CANAL_4,DISPOSIT_9,373.0,926.0,Recibir Los Archivo Detalle De Pagos,Recibir Los Archivo Detalle De Pagos,No Financiera,Intercambio de archivos Cliente/Banco,No Se Encontraron Registros Para Esta Consulta,No Exitosa,Intercambio de archivos Cliente/Banco,NO,Sin producto
CANAL_2,DISPOSIT_11,345.0,0.0,Consulta De Saldo Prestamos,Consulta De Saldos Prestamos,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Creditos
CANAL_4,DISPOSIT_9,539.0,34.0,Transferencia A Inversion Fiduciaria,Transferencia De Fondos Desde Cuenta De Ahorros A Inversion Fiduciaria,Financiera,Transferencias de fondos,Valor Por Encima De Tope Diario De Transferencia,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_1,DISPOSIT_12,381.0,74.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,Clave Bloqueada Por Numero Maximo De Intentos No Validos,Tecnicamente Exitosa,Cambio de Claves,NO,Ahorro a la mano
CANAL_2,DISPOSIT_7,68.0,18.0,Consulta De Convenio,Consulta De Convenios Gde,No Financiera,Consultas / Movimientos / Extractos,Clase De Tarjeta No Valida,No Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_1,DISPOSIT_2,658.0,21.0,Enviar Notificaciones,Enviar Comprobante de Envio de Dinero ALM,No Financiera,Autorizaciones,Factura Ya Fue Pagada (Retornado Por Stratus),Tecnicamente Exitosa,Autorizaciones,NO,Ahorro a la mano
CANAL_1,DISPOSIT_12,438.0,822.0,Transferencias de Fondos,Transferencia De Fondos Entre Cuentas Bancolombia,Financiera,Transferencias de fondos,Numero De Cuenta Invalido,Tecnicamente Exitosa,Transferencias,NO,Tarjeta Debito
CANAL_2,DISPOSIT_10,165.0,50.0,"Validacion De Cedula, Clave Principal Y Consulta De Estado De La Segunda Clave","Validacion De Cedula, Clave Principal Y Consulta De Estado De La Segunda Clave",No considerar,No considerar,Cuenta No Existe,No Exitosa,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,120.0,776.0,Registrar Alertas,Registrar Alertas,No Financiera,Actualizaciones,Error Al Abrir Archivo De La Ifs,No Exitosa,Actualizaciones,NO,Sin producto
CANAL_4,DISPOSIT_9,1018.0,0.0,Consulta De Costo De La Transaccion,Consulta De Costo De La Transaccion,No considerar,No considerar,Transaccion Exitosa,Exitosa,NA,NA,Sin producto
CANAL_8,DISPOSIT_3,604.0,406.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,No Es Posible Obtener El Costo De La Transacci N,No considerar,NA,NO,Sin producto
CANAL_8,DISPOSIT_3,522.0,61.0,Compra Pse,Compra Pse Desde Cuenta De Ahorros,Financiera,Compras,"Sistema No Disponible, Por Favor Intente Mas Tarde",No Exitosa,Compras,SI,PSE
CANAL_2,DISPOSIT_11,613.0,318.0,Consulta Novedades OTP,Consulta Novedades OTP,No considerar,Claves,Nip Incorrecto,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,638.0,644.0,Transferencia A Otros Bancos,Transferencia A Otros Bancos,Financiera,Transferencias de fondos,"Trn Duplicada,Pendiente Por Enviar A Banco Destino",Tecnicamente Exitosa,Transferencias,NO,Tarjeta Debito
CANAL_4,DISPOSIT_9,381.0,190.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,Siempre La Clave Debe Empezar En Una Letra,Tecnicamente Exitosa,Cambio de Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,531.0,48.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,Reversion Time Out,No Exitosa,Pagos,NO,Cta Ahorros
CANAL_2,DISPOSIT_10,166.0,80.0,Consulta De Productos (Automatica),Consulta De Productos (Automatica),No considerar,No considerar,Plazo No Valido,No Exitosa,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,120.0,0.0,Registrar Alertas,Registrar Alertas,No Financiera,Actualizaciones,Transaccion Exitosa,Exitosa,Actualizaciones,NA,Sin producto
CANAL_5,DISPOSIT_4,4600.0,95.0,Validacion OTP,Validacion OTP,No considerar,Claves,Clave Dinamica no valida. Al proximo intento fallido sera bloqueada.,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_5,4.0,0.0,Consulta De Saldo Deposito,Consulta De Saldo Cuenta Corriente Asociada,No Financiera,Consultas / Movimientos / Extractos,Transaccion Exitosa,Exitosa,Consultas / Movimientos / Extractos,NA,Cta Corriente
CANAL_5,DISPOSIT_4,4800.0,21.0,Bloqueo voluntario OTP,Bloqueo voluntario OTP,No Financiera,Claves,Bloqueado voluntariamente,Tecnicamente Exitosa,Bloqueos,NO,Sin producto
CANAL_5,DISPOSIT_4,1103.0,510.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Otros Bancos,Financiera,Transferencias de fondos,"Fid: No Hay Saldo Disponible 257,259,278,279,280",Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_2,DISPOSIT_5,26.0,35.0,Desembolso Desde Cupo De Credito,Desembolso Desde Cupo De Credito Audioprestamo,Financiera,Utilizacion de cupo de credito,Valor Transferencia Por Debajo De Tope Minimo Permitido,Tecnicamente Exitosa,Utilizacion de cupo de credito,NO,Audioprestamo
CANAL_1,DISPOSIT_12,301.0,603.0,Consulta De Saldo Deposito,Consulta De Saldos Cuenta De Depositos,No Financiera,Consultas / Movimientos / Extractos,Acceso No Permitido,No Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_2,DISPOSIT_5,55.0,410.0,Regeneracion de Clave,Regeneracion De Segunda Clave,No Financiera,Claves,Fid: Monto De Retiro Superior Al Tope M xim,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_2,DISPOSIT_13,888.0,0.0,Consulta De Costo De La Transaccion,Consulta De Costo De La Transaccion,No considerar,No considerar,Transaccion Exitosa,Exitosa,NA,NA,Sin producto
CANAL_4,DISPOSIT_9,301.0,72.0,Consulta De Saldo Deposito,Detalle Cuenta (Saldos + Movimiento),No Financiera,Consultas / Movimientos / Extractos,Cuenta No Tiene Movimiento,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Tarjeta Debito
CANAL_5,DISPOSIT_4,485.0,919.0,Inscripcion De Cuentas,Inscripcion Cuentas Bancolombia,No Financiera,Inscripciones,Cliente No Posee Tarjeta Virtual,Tecnicamente Exitosa,Inscripciones,NO,Sin producto
CANAL_2,DISPOSIT_13,328.0,7.0,Evidente para Enrolamiento OTP,Evidente para Enrolamiento OTP,No considerar,Claves,Documento No Tiene La Tarjeta Solicitada Inscrita (Destino),No Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_11,43.0,10.0,Consulta Cuentas Afiliadas Ach - Banco,Consulta Cuentas Afiliadas Ach - Banco,No Financiera,Consultas / Movimientos / Extractos,Numero De Transaccion No Valida,Tecnicamente Exitosa,Consultas / Movimientos / Extractos,NO,Sin producto
CANAL_3,DISPOSIT_6,385.0,607.0,Logueo Para Transacciones,Logueo Para Transacciones,No considerar,No considerar,Clave Bloqueada,No considerar,NA,NO,Sin producto
CANAL_6,DISPOSIT_4,453.0,129.0,Validaciones De Claves,Validaciones De Claves,No Financiera,Claves,"Transaccion No Exitosa, Intente Mas Tarde",No Exitosa,Validaciones,SI,Sin producto
CANAL_5,DISPOSIT_4,453.0,151.0,Validaciones De Claves,Validaciones De Claves,No Financiera,Claves,"Transaccion No Efectuada, Favor Intente Mas Tarde",No Exitosa,Validaciones,SI,Sin producto
CANAL_2,DISPOSIT_13,227.0,5.0,Validacion Del Cliente Para Segunda Clave,Validacion Del Cliente Para Segunda Clave,No Financiera,Claves,Valido Sin Historia De Credito,Tecnicamente Exitosa,Validaciones,NO,Sin producto
CANAL_5,DISPOSIT_4,513.0,0.0,Grabar Constitucion Fiduciaria,Grabar Constitucion- Fid Desde Cuenta Deposito,Financiera,Actualizaciones,Transaccion Exitosa,Exitosa,Actualizaciones,NA,Sin producto
CANAL_6,DISPOSIT_4,3300.0,117.0,Validacion codigo de seguridad,Validacion codigo de seguridad,No considerar,Claves,El codigo de seguridad esta bloqueado.,Tecnicamente Exitosa,NA,NO,Sin producto
CANAL_2,DISPOSIT_5,28.0,29.0,Pago De Tarjeta De Credito,Pago De Tarjeta De Credito Propia - No Propia Ivr,Financiera,Pago Tarjetas,"Transaccion No Exitosa, Intente Mas Tarde",No Exitosa,Pagos,SI,TDC
CANAL_6,DISPOSIT_4,604.0,602.0,Validacion De Segunda Clave,Validacion De Segunda Clave,No considerar,No considerar,Usted No Posee Segunda Clave,No considerar,NA,NO,Sin producto
CANAL_5,DISPOSIT_4,116.0,0.0,Actualizacion De Informacion,Actualizacion De Correo Electronico,No Financiera,Actualizaciones,Transaccion Exitosa,Exitosa,Actualizaciones,NA,Sin producto
CANAL_5,DISPOSIT_1,606.0,403.0,Autenticacion Segunda Clave Links Inteligentes,Autenticacion Segunda Clave Links Inteligentes,No Financiera,Claves,Cuenta A Consultar No Permitida,Tecnicamente Exitosa,Claves,NO,Sin producto
CANAL_5,DISPOSIT_4,601.0,611.0,Bloqueo De Segunda Clave,Bloqueo De Segunda Clave,No Financiera,Claves,"Segunda Clave No Valida, Segundo Intento",Tecnicamente Exitosa,Bloqueos,NO,Sin producto
CANAL_1,DISPOSIT_12,381.0,606.0,Cambio De Clave,Cambio De Clave,No Financiera,Claves,Servicio No Habilitado Comunicate Con El Banco,No Exitosa,Cambio de Claves,SI,Ahorro a la mano
CANAL_7,DISPOSIT_3,522.0,61.0,Compra Pse,Compra Pse Desde Cuenta De Ahorros,Financiera,Compras,"Sistema No Disponible, Por Favor Intente Mas Tarde",No Exitosa,Compras,SI,PSE
CANAL_6,DISPOSIT_4,531.0,700.0,Pago De Facturas,Pago De Facturas Recaudo Referenciado Desde Cuenta De Ahorros,Financiera,Pago de facturas,#N/A Pendiente De Respuesta,No Exitosa,Pagos,SI,Cta Ahorros
CANAL_5,DISPOSIT_4,449.0,410.0,Transferencia De Inversion Fiduciaria,Transferencia Desde Inversion Fiduciaria A Cuenta Corriente,Financiera,Transferencias de fondos,Fid: Monto De Retiro Superior Al Tope M xim,Tecnicamente Exitosa,Transferencias,NO,Inversiones
CANAL_1,DISPOSIT_12,200.0,133.0,Registro Banca Movil,Registro Banca Movil,No Financiera,Autenticacion,El Usuario En La Empresa Ya Fue Inscrito,Tecnicamente Exitosa,Autenticaciones,NO,Sin producto
CANAL_8,DISPOSIT_3,385.0,0.0,Logueo Para Transacciones,Logueo Para Transacciones,No considerar,No considerar,Transaccion Exitosa,No considerar,NA,NO,Sin producto
CANAL_1,DISPOSIT_12,202.0,991.0,Recarga De Celular,Recarga De Celular,Financiera,Recargas,Clave Bloqueada,Tecnicamente Exitosa,Recargas,NO,Recargas
